Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Finger Food,  Continental",4.1,2415,2000
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,2363,1500
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.2,5016,2000
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",4.2,2821,1800
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  American,  Italian",4.4,1094,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",3.9,1391,2000
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4,1022,1800
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.3,963,2100
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Chinese,  Continental",3.9,506,1500
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.2,712,1000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,2428,2000
Warehouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Fusion,  Italian,  Chinese",4.1,2335,2500
Padmanabham,"Janpath, Central Delhi", Central Delhi,Delhi,South Indian,4.2,223,700
Unplugged Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.1,1817,2000
38 Barracks,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,1301,1700
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4,1501,2100
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,134,1500
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200
